sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
Kepler-1993,1,1,0,0,293.7968548,45.1607261,77.92249,11.78641,1031.91,0.940416,1.3762709,-0.825091,1.10152,13.2589,12.6445,13.451,11.718,11.136,11.152,8.725
Kepler-1994,1,1,0,0,297.1487941,46.2969247,80.05739,10.24589,241.991,4.10366,2.8275236,-2.48883,-1.34187,11.8227,11.3139,12.01,10.615,10.185,10.127,9.113
Kepler-1995,1,1,0,0,284.342725,46.3165907,76.28124,18.29089,595.331,1.65127,3.9912629,-2.94671,2.69204,15.1988,14.5501,15.516,13.661,13.016,13.002,9.097
Kepler-1996,1,2,0,0,285.2537555,46.5822183,76.77586,17.79756,440.561,2.24116,17.7067528,12.1667,12.8647,14.8656,14.1718,15.11,13.213,12.53,12.466,9.178001
Kepler-1997,1,1,0,0,297.4808253,46.5891373,80.42965,10.18663,1502.34,0.637792,8.5213899,-2.5169,-8.14121,15.4636,15.0138,15.454,14.268,13.885,13.697,8.947
Kepler-1998,1,1,0,0,283.4291536,47.5923973,77.32348,19.3122,340.965,2.9041,18.6631044,-0.573199,-18.6543,12.6024,12.1297,12.74,11.462,11.076,11.041,9.385
Kepler-1999,1,1,0,0,282.3705675,48.259234,77.74846,20.1998,701.255,1.39805,12.4953915,10.0948,-7.36409,16.319,15.5613,16.433,14.536,13.882,13.701,9.257
Kepler-20,2,6,0,0,287.6979913,42.3385782,73.37692,14.57345,282.563,3.51026,27.2511636,-3.97634,-26.9595,12.4535,11.9623,12.61,11.252,10.871,10.799,9.328
Kepler-200,1,2,0,0,284.4099503,41.2374928,71.33871,16.40754,665.912,1.47291,9.4976398,5.52362,7.72624,13.9518,13.4991,13.932,12.871,12.455,12.446,9.143
Kepler-2000,1,2,0,0,285.5743032,49.9621218,80.18831,18.78346,320.588,3.0909,39.1920112,-7.05004,-38.5527,15.2639,14.3009,15.642,13.089,12.29,11.938,9.509
Kepler-2001,1,2,0,0,291.6594558,50.5838585,82.32309,15.41574,776.55,1.25962,7.9013307,-5.65097,-5.52246,15.7733,15.1411,15.981,14.244,13.551,13.641,9.602
Kepler-201,1,2,0,0,293.626059,41.2728004,74.33875,10.12709,636.445,1.54279,6.3182029,3.07528,-5.51927,12.9199,12.5435,12.991,12.037,11.737,11.699,9.256
Kepler-202,1,2,0,0,282.9734874,41.3217991,71.00646,17.44261,285.111,3.4785,50.2641076,10.3679,-49.1832,13.8433,13.199,14.178,12.255,11.639,11.578,9.244
